ph,perch,conc,dic form,gly,dra,gr15,dim,no grass control,conc: 4x,conc: 1x,dic: BAPMA,dic: DGA+VG,gly: DMA,gly: GLY-K
4.81,0.354940,4x,BAPMA,yes,no,no,no,no,yes,no,yes,no,yes,no
4.81,0.354940,4x,BAPMA,yes,no,no,no,no,yes,no,yes,no,yes,no
4.8,0.356281,4x,BAPMA,yes,no,no,no,no,yes,no,yes,no,yes,no
4.71,0.368350,4x,BAPMA,yes,no,no,no,no,yes,no,yes,no,no,yes
4.7,0.369692,4x,BAPMA,yes,no,no,no,no,yes,no,yes,no,no,yes
4.7,0.369692,4x,BAPMA,yes,no,no,no,no,yes,no,yes,no,no,yes
4.78,0.358963,4x,BAPMA,yes,no,no,no,no,yes,no,yes,no,no,yes
4.77,0.360304,4x,BAPMA,yes,no,no,no,no,yes,no,yes,no,no,yes
4.76,0.361645,4x,BAPMA,yes,no,no,no,no,yes,no,yes,no,no,yes
4.71,0.368350,4x,BAPMA,yes,yes,no,no,no,yes,no,yes,no,no,yes
4.71,0.368350,4x,BAPMA,yes,yes,no,no,no,yes,no,yes,no,no,yes
4.7,0.369692,4x,BAPMA,yes,yes,no,no,no,yes,no,yes,no,no,yes
4.79,0.357622,4x,BAPMA,yes,yes,no,no,no,yes,no,yes,no,no,yes
4.78,0.358963,4x,BAPMA,yes,yes,no,no,no,yes,no,yes,no,no,yes
4.77,0.360304,4x,BAPMA,yes,yes,no,no,no,yes,no,yes,no,no,yes
4.73,0.365668,4x,BAPMA,yes,yes,yes,no,no,yes,no,yes,no,no,yes
4.73,0.365668,4x,BAPMA,yes,yes,yes,no,no,yes,no,yes,no,no,yes
4.72,0.367009,4x,BAPMA,yes,yes,yes,no,no,yes,no,yes,no,no,yes
4.75,0.362986,4x,BAPMA,yes,yes,yes,no,no,yes,no,yes,no,no,yes
4.76,0.361645,4x,BAPMA,yes,yes,yes,no,no,yes,no,yes,no,no,yes
4.76,0.361645,4x,BAPMA,yes,yes,yes,no,no,yes,no,yes,no,no,yes
