des,study,TRT,trt,conc,ams,enl,grass,run,rep,ph,chph,perch
4X Enlist One + AMS,4,6,11,4x,yes,one,none,2,1,6.8,-0.761667,0.100727393
4X Enlist One + AMS,4,6,11,4x,yes,one,none,2,2,6.8,-0.761667,0.100727393
4X Enlist One + AMS,4,6,11,4x,yes,one,none,2,3,6.77,-0.791667,0.104694772
1X Enlist One + AMS,4,6,12,1x,yes,one,none,1,1,7,-0.561667,0.074278198
1X Enlist One + AMS,4,6,12,1x,yes,one,none,1,2,6.97,-0.591667,0.078245577
1X Enlist One + AMS,4,6,12,1x,yes,one,none,1,3,6.94,-0.621667,0.082212956
1X Enlist One + AMS,4,6,12,1x,yes,one,none,2,1,7.14,-0.421667,0.055763762
1X Enlist One + AMS,4,6,12,1x,yes,one,none,2,2,7.15,-0.411667,0.054441302
1X Enlist One + AMS,4,6,12,1x,yes,one,none,2,3,7.14,-0.421667,0.055763762
4X Enlist One + Roundup Powermax + AMS,4,7,13,4x,yes,one,GLY-K,1,1,5.04,-2.521667,0.333480303
4X Enlist One + Roundup Powermax + AMS,4,7,13,4x,yes,one,GLY-K,1,2,5.03,-2.531667,0.334802762
4X Enlist One + Roundup Powermax + AMS,4,7,13,4x,yes,one,GLY-K,1,3,5.02,-2.541667,0.336125222
4X Enlist One + Roundup Powermax + AMS,4,7,13,4x,yes,one,GLY-K,2,1,5.05,-2.511667,0.332157843
4X Enlist One + Roundup Powermax + AMS,4,7,13,4x,yes,one,GLY-K,2,2,5.04,-2.521667,0.333480303
4X Enlist One + Roundup Powermax + AMS,4,7,13,4x,yes,one,GLY-K,2,3,5.05,-2.511667,0.332157843
1X Enlist One + Roundup Powermax + AMS,4,7,14,1x,yes,one,GLY-K,1,1,5.03,-2.531667,0.334802762
1X Enlist One + Roundup Powermax + AMS,4,7,14,1x,yes,one,GLY-K,1,2,5.04,-2.521667,0.333480303
1X Enlist One + Roundup Powermax + AMS,4,7,14,1x,yes,one,GLY-K,1,3,5.02,-2.541667,0.336125222
1X Enlist One + Roundup Powermax + AMS,4,7,14,1x,yes,one,GLY-K,2,1,4.97,-2.591667,0.342737521
1X Enlist One + Roundup Powermax + AMS,4,7,14,1x,yes,one,GLY-K,2,2,5.03,-2.531667,0.334802762
1X Enlist One + Roundup Powermax + AMS,4,7,14,1x,yes,one,GLY-K,2,3,4.98,-2.581667,0.341415061
4X Enlist One + Durango DMA + AMS,4,8,15,4x,yes,one,DMA,1,1,4.96,-2.601667,0.34405998
4X Enlist One + Durango DMA + AMS,4,8,15,4x,yes,one,DMA,1,2,5.03,-2.531667,0.334802762
4X Enlist One + Durango DMA + AMS,4,8,15,4x,yes,one,DMA,1,3,5.06,-2.501667,0.330835383
4X Enlist One + Durango DMA + AMS,4,8,15,4x,yes,one,DMA,2,1,5.13,-2.431667,0.321578165
4X Enlist One + Durango DMA + AMS,4,8,15,4x,yes,one,DMA,2,2,5.12,-2.441667,0.322900625
4X Enlist One + Durango DMA + AMS,4,8,15,4x,yes,one,DMA,2,3,5.11,-2.451667,0.324223085
1X Enlist One + Durango DMA + AMS,4,8,16,1x,yes,one,DMA,1,1,5.07,-2.491667,0.329512924
1X Enlist One + Durango DMA + AMS,4,8,16,1x,yes,one,DMA,1,2,5.07,-2.491667,0.329512924
1X Enlist One + Durango DMA + AMS,4,8,16,1x,yes,one,DMA,1,3,5.1,-2.461667,0.325545544
1X Enlist One + Durango DMA + AMS,4,8,16,1x,yes,one,DMA,2,1,5.07,-2.491667,0.329512924
1X Enlist One + Durango DMA + AMS,4,8,16,1x,yes,one,DMA,2,2,5.05,-2.511667,0.332157843
1X Enlist One + Durango DMA + AMS,4,8,16,1x,yes,one,DMA,2,3,5.06,-2.501667,0.330835383
4X Enlist One + Select Max + AMS,4,9,17,4x,yes,one,DIM,1,1,6.03,-1.531667,0.202556791
4X Enlist One + Select Max + AMS,4,9,17,4x,yes,one,DIM,1,2,6.11,-1.451667,0.191977113
4X Enlist One + Select Max + AMS,4,9,17,4x,yes,one,DIM,1,3,6.12,-1.441667,0.190654653
4X Enlist One + Select Max + AMS,4,9,17,4x,yes,one,DIM,2,1,6.13,-1.431667,0.189332194
4X Enlist One + Select Max + AMS,4,9,17,4x,yes,one,DIM,2,2,6.27,-1.291667,0.170817758
4X Enlist One + Select Max + AMS,4,9,17,4x,yes,one,DIM,2,3,6.13,-1.431667,0.189332194
1X Enlist One + Select Max + AMS,4,9,18,1x,yes,one,DIM,1,1,6.69,-0.871667,0.115274449
1X Enlist One + Select Max + AMS,4,9,18,1x,yes,one,DIM,1,2,6.68,-0.881667,0.116596909
1X Enlist One + Select Max + AMS,4,9,18,1x,yes,one,DIM,1,3,6.74,-0.821667,0.108662151
1X Enlist One + Select Max + AMS,4,9,18,1x,yes,one,DIM,2,1,6.71,-0.851667,0.11262953
1X Enlist One + Select Max + AMS,4,9,18,1x,yes,one,DIM,2,2,6.79,-0.771667,0.102049852
1X Enlist One + Select Max + AMS,4,9,18,1x,yes,one,DIM,2,3,6.79,-0.771667,0.102049852
