ph,perch,enl form,conc,ams,gly,dim,no grass control,conc: 4x,conc: 1x,gly:DMA,gly:GLY-K,enl 1,enl duo
4.92,0.349349819,enlone,1x,no,yes,no,no,no,yes,no,yes,yes,no
4.95,0.34538244,enlone,1x,no,yes,no,no,no,yes,no,yes,yes,no
6.47,0.144368563,enlone,1x,no,no,yes,no,no,yes,no,no,yes,no
6.46,0.145691023,enlone,1x,no,no,yes,no,no,yes,no,no,yes,no
6.46,0.145691023,enlone,1x,no,no,yes,no,no,yes,no,no,yes,no
6.65,0.120564288,enlone,1x,no,no,yes,no,no,yes,no,no,yes,no
6.64,0.121886748,enlone,1x,no,no,yes,no,no,yes,no,no,yes,no
6.62,0.124531667,enlone,1x,no,no,yes,no,no,yes,no,no,yes,no
7,0.074278198,enlone,1x,yes,no,no,yes,no,yes,no,no,yes,no
6.97,0.078245577,enlone,1x,yes,no,no,yes,no,yes,no,no,yes,no
6.94,0.082212956,enlone,1x,yes,no,no,yes,no,yes,no,no,yes,no
7.14,0.055763762,enlone,1x,yes,no,no,yes,no,yes,no,no,yes,no
7.15,0.054441302,enlone,1x,yes,no,no,yes,no,yes,no,no,yes,no
7.14,0.055763762,enlone,1x,yes,no,no,yes,no,yes,no,no,yes,no
5.07,0.329512924,enlone,1x,yes,yes,no,no,no,yes,yes,no,yes,no
5.07,0.329512924,enlone,1x,yes,yes,no,no,no,yes,yes,no,yes,no
5.1,0.325545544,enlone,1x,yes,yes,no,no,no,yes,yes,no,yes,no
5.07,0.329512924,enlone,1x,yes,yes,no,no,no,yes,yes,no,yes,no
5.05,0.332157843,enlone,1x,yes,yes,no,no,no,yes,yes,no,yes,no
5.06,0.330835383,enlone,1x,yes,yes,no,no,no,yes,yes,no,yes,no
5.03,0.334802762,enlone,1x,yes,yes,no,no,no,yes,no,yes,yes,no
5.04,0.333480303,enlone,1x,yes,yes,no,no,no,yes,no,yes,yes,no
5.02,0.336125222,enlone,1x,yes,yes,no,no,no,yes,no,yes,yes,no
4.97,0.342737521,enlone,1x,yes,yes,no,no,no,yes,no,yes,yes,no
5.03,0.334802762,enlone,1x,yes,yes,no,no,no,yes,no,yes,yes,no
4.98,0.341415061,enlone,1x,yes,yes,no,no,no,yes,no,yes,yes,no
6.69,0.115274449,enlone,1x,yes,no,yes,no,no,yes,no,no,yes,no
6.68,0.116596909,enlone,1x,yes,no,yes,no,no,yes,no,no,yes,no
6.74,0.108662151,enlone,1x,yes,no,yes,no,no,yes,no,no,yes,no
6.71,0.11262953,enlone,1x,yes,no,yes,no,no,yes,no,no,yes,no
6.79,0.102049852,enlone,1x,yes,no,yes,no,no,yes,no,no,yes,no
6.79,0.102049852,enlone,1x,yes,no,yes,no,no,yes,no,no,yes,no
5.83,0.229005985,enlduo,1x,no,yes,no,no,no,yes,no,no,no,yes
5.82,0.230328445,enlduo,1x,no,yes,no,no,no,yes,no,no,no,yes
5.82,0.230328445,enlduo,1x,no,yes,no,no,no,yes,no,no,no,yes
5.82,0.230328445,enlduo,1x,no,yes,no,no,no,yes,no,no,no,yes
5.79,0.234295824,enlduo,1x,no,yes,no,no,no,yes,no,no,no,yes
5.81,0.231650904,enlduo,1x,no,yes,no,no,no,yes,no,no,no,yes
5.81,0.231650904,enlduo,1x,yes,yes,no,no,no,yes,no,no,no,yes
5.81,0.231650904,enlduo,1x,yes,yes,no,no,no,yes,no,no,no,yes
5.8,0.232973364,enlduo,1x,yes,yes,no,no,no,yes,no,no,no,yes
5.78,0.235618284,enlduo,1x,yes,yes,no,no,no,yes,no,no,no,yes
5.78,0.235618284,enlduo,1x,yes,yes,no,no,no,yes,no,no,no,yes
5.77,0.236940743,enlduo,1x,yes,yes,no,no,no,yes,no,no,no,yes
