Trial,App,Rating,Plot,Trt,Trt Des,herb,gly,Transect,Distance,injury
SB25a,Early,21 DAT,211,11,Enlist One,"2,4-D",no,1,1.5,2
SB25a,Early,21 DAT,211,11,Enlist One,"2,4-D",no,1,1.8,0
SB25a,Early,21 DAT,211,11,Enlist One,"2,4-D",no,1,2.1,2
SB25a,Early,21 DAT,211,11,Enlist One,"2,4-D",no,1,2.4,0
SB25a,Early,21 DAT,211,11,Enlist One,"2,4-D",no,1,2.7,0
SB25a,Early,21 DAT,211,11,Enlist One,"2,4-D",no,1,3,0
SB25a,Early,21 DAT,213,5,Xtendimax + Gly,DGA+VG,yes,4,0,3
SB25a,Early,21 DAT,213,5,Xtendimax + Gly,DGA+VG,yes,4,0.3,1
SB25a,Early,21 DAT,213,5,Xtendimax + Gly,DGA+VG,yes,4,0.6,6
SB25a,Early,21 DAT,213,5,Xtendimax + Gly,DGA+VG,yes,4,0.9,0
SB25a,Early,21 DAT,213,5,Xtendimax + Gly,DGA+VG,yes,4,1.2,0
SB25a,Early,21 DAT,213,5,Xtendimax + Gly,DGA+VG,yes,4,1.5,6
SB25a,Early,21 DAT,213,5,Xtendimax + Gly,DGA+VG,yes,4,1.8,1
SB25a,Early,21 DAT,213,5,Xtendimax + Gly,DGA+VG,yes,4,2.1,6
SB25a,Early,21 DAT,213,5,Xtendimax + Gly,DGA+VG,yes,4,2.4,4
SB25a,Early,21 DAT,213,5,Xtendimax + Gly,DGA+VG,yes,4,2.7,7
SB25a,Early,21 DAT,213,5,Xtendimax + Gly,DGA+VG,yes,4,3,0
SB25a,Early,21 DAT,214,7,Status,NA+DIF,no,4,0,3
SB25a,Early,21 DAT,214,7,Status,NA+DIF,no,4,0.3,7
SB25a,Early,21 DAT,214,7,Status,NA+DIF,no,4,0.6,6
SB25a,Early,21 DAT,214,7,Status,NA+DIF,no,4,0.9,2
SB25a,Early,21 DAT,214,7,Status,NA+DIF,no,4,1.2,7
SB25a,Early,21 DAT,214,7,Status,NA+DIF,no,4,1.5,5
SB25a,Early,21 DAT,214,7,Status,NA+DIF,no,4,1.8,4
SB25a,Early,21 DAT,214,7,Status,NA+DIF,no,4,2.1,3
SB25a,Early,21 DAT,214,7,Status,NA+DIF,no,4,2.4,5
SB25a,Early,21 DAT,214,7,Status,NA+DIF,no,4,2.7,1
SB25a,Early,21 DAT,214,7,Status,NA+DIF,no,4,3,0
SB25a,Early,21 DAT,302,11,Enlist One,"2,4-D",no,4,0,3
SB25a,Early,21 DAT,302,11,Enlist One,"2,4-D",no,4,0.3,4
SB25a,Early,21 DAT,302,11,Enlist One,"2,4-D",no,4,0.6,1
SB25a,Early,21 DAT,302,11,Enlist One,"2,4-D",no,4,0.9,1
SB25a,Early,21 DAT,302,11,Enlist One,"2,4-D",no,4,1.2,1
SB25a,Early,21 DAT,302,11,Enlist One,"2,4-D",no,4,1.5,4
SB25a,Early,21 DAT,302,11,Enlist One,"2,4-D",no,4,1.8,4
SB25a,Early,21 DAT,302,11,Enlist One,"2,4-D",no,4,2.1,0
SB25a,Early,21 DAT,302,11,Enlist One,"2,4-D",no,4,2.4,4
SB25a,Early,21 DAT,302,11,Enlist One,"2,4-D",no,4,2.7,3
SB25a,Early,21 DAT,302,11,Enlist One,"2,4-D",no,4,3,0
SB25a,Early,21 DAT,303,13,Enlist Duo,"2,4-D",yes,1,0,6
SB25a,Early,21 DAT,303,13,Enlist Duo,"2,4-D",yes,1,0.3,5
SB25a,Early,21 DAT,303,13,Enlist Duo,"2,4-D",yes,1,0.6,3
SB25a,Early,21 DAT,303,13,Enlist Duo,"2,4-D",yes,1,0.9,1
SB25a,Early,21 DAT,303,13,Enlist Duo,"2,4-D",yes,1,1.2,1
SB25a,Early,21 DAT,303,13,Enlist Duo,"2,4-D",yes,1,1.5,4
SB25a,Early,21 DAT,303,13,Enlist Duo,"2,4-D",yes,1,1.8,1
SB25a,Early,21 DAT,303,13,Enlist Duo,"2,4-D",yes,1,2.1,1
SB25a,Early,21 DAT,303,13,Enlist Duo,"2,4-D",yes,1,2.4,0
SB25a,Early,21 DAT,303,13,Enlist Duo,"2,4-D",yes,1,2.7,0
SB25a,Early,21 DAT,303,13,Enlist Duo,"2,4-D",yes,1,3,0
SB25a,Early,21 DAT,306,7,Status,NA+DIF,no,4,0,0
SB25a,Early,21 DAT,306,7,Status,NA+DIF,no,4,0.3,7
SB25a,Early,21 DAT,306,7,Status,NA+DIF,no,4,0.6,5
SB25a,Early,21 DAT,306,7,Status,NA+DIF,no,4,0.9,5
SB25a,Early,21 DAT,306,7,Status,NA+DIF,no,4,1.2,7
SB25a,Early,21 DAT,306,7,Status,NA+DIF,no,4,1.5,4
SB25a,Early,21 DAT,306,7,Status,NA+DIF,no,4,1.8,0
SB25a,Early,21 DAT,306,7,Status,NA+DIF,no,4,2.1,3
SB25a,Early,21 DAT,306,7,Status,NA+DIF,no,4,2.4,0
SB25a,Early,21 DAT,306,7,Status,NA+DIF,no,4,2.7,3
SB25a,Early,21 DAT,306,7,Status,NA+DIF,no,4,3,0
SB25a,Early,21 DAT,308,5,Xtendimax + Gly,DGA+VG,yes,4,0,10
SB25a,Early,21 DAT,308,5,Xtendimax + Gly,DGA+VG,yes,4,0.3,25
SB25a,Early,21 DAT,308,5,Xtendimax + Gly,DGA+VG,yes,4,0.6,4
SB25a,Early,21 DAT,308,5,Xtendimax + Gly,DGA+VG,yes,4,0.9,15
