datetime,hours,isoil temp,msoil temp,i30cm temp,m30cm temp,rh,iair temp,mair temp,irain,mrain,dir,iwind gust,mwind gust,iwind,spd
2019-06-26 06:45,0.25,66.6,19.2,65.3,18.5,77.3,65.2,18.4,0.03,0.762,194,5,2.2352,1,0.44704
2019-06-26 07:00,0.5,66.8,19.3,65.4,18.6,74.7,66.6,19.2,0.02,0.508,194,4,1.78816,0,0.1
2019-06-26 07:15,0.75,62.1,16.7,66.4,19.1,76.6,65.8,18.8,0,0,207,2,0.89408,0,0.1
2019-06-26 07:30,1,63.9,17.7,68.6,20.3,76.9,66.6,19.2,0,0,265,3,1.34112,1,0.44704
2019-06-26 07:45,1.25,66.2,19.0,71.2,21.8,75.8,67.7,19.8,0,0,252,5,2.2352,1,0.44704
2019-06-26 08:00,1.5,68.1,20.1,70.7,21.5,73.7,68.5,20.3,0,0,227,5,2.2352,1,0.44704
2019-06-26 08:15,1.75,70.2,21.2,72.8,22.7,73.3,69.3,20.7,0,0,237,4,1.78816,2,0.89408
2019-06-26 08:30,2,72.9,22.7,74.6,23.7,71.1,70.6,21.4,0,0,242,5,2.2352,2,0.89408
2019-06-26 08:45,2.25,75.9,24.4,75.9,24.4,68.4,72,22.2,0,0,266,4,1.78816,2,0.89408
2019-06-26 09:00,2.5,78.4,25.8,77.5,25.3,65.3,73.6,23.1,0,0,261,3,1.34112,0,0.1
2019-06-26 09:15,2.75,80.2,26.8,77.8,25.4,63.7,74.2,23.4,0,0,223,3,1.34112,0,0.1
2019-06-26 09:30,3,81.6,27.6,78,25.6,62,75.4,24.1,0,0,230,4,1.78816,0,0.1
2019-06-26 09:45,3.25,83.5,28.6,80.2,26.8,59.2,76.8,24.9,0,0,273,5,2.2352,1,0.44704
2019-06-26 10:00,3.5,84.8,29.3,79.7,26.5,57.7,77.6,25.3,0,0,278,5,2.2352,1,0.44704
2019-06-26 10:15,3.75,85.7,29.8,79.8,26.6,57.3,77.3,25.2,0,0,201,4,1.78816,1,0.44704
