des,study,TRT,trt,conc,ams,dic,gly,run,rep,ph,chph,perch
1X Clarity + Durango DMA + AMS,3,21,42,1x,yes,DGA,DMA,1,1,4.92,-2.533333,0.339892636
1X Clarity + Durango DMA + AMS,3,21,42,1x,yes,DGA,DMA,1,2,4.93,-2.523333,0.338550954
1X Clarity + Durango DMA + AMS,3,21,42,1x,yes,DGA,DMA,1,3,4.92,-2.533333,0.339892636
1X Clarity + Durango DMA + AMS,3,21,42,1x,yes,DGA,DMA,2,1,5.01,-2.443333,0.327817501
1X Clarity + Durango DMA + AMS,3,21,42,1x,yes,DGA,DMA,2,2,4.99,-2.463333,0.330500865
1X Clarity + Durango DMA + AMS,3,21,42,1x,yes,DGA,DMA,2,3,4.99,-2.463333,0.330500865
4X Diflexx + Durango DMA + AMS,3,22,43,4x,yes,DGA+CYP,DMA,1,1,4.59,-2.863333,0.38416813
4X Diflexx + Durango DMA + AMS,3,22,43,4x,yes,DGA+CYP,DMA,1,2,4.59,-2.863333,0.38416813
4X Diflexx + Durango DMA + AMS,3,22,43,4x,yes,DGA+CYP,DMA,1,3,4.57,-2.883333,0.386851493
4X Diflexx + Durango DMA + AMS,3,22,43,4x,yes,DGA+CYP,DMA,2,1,4.46,-2.993333,0.401609991
4X Diflexx + Durango DMA + AMS,3,22,43,4x,yes,DGA+CYP,DMA,2,2,4.46,-2.993333,0.401609991
1X Diflexx + Durango DMA + AMS,3,22,44,1x,yes,DGA+CYP,DMA,1,1,4.87,-2.583333,0.346601044
1X Diflexx + Durango DMA + AMS,3,22,44,1x,yes,DGA+CYP,DMA,1,2,4.89,-2.563333,0.343917681
1X Diflexx + Durango DMA + AMS,3,22,44,1x,yes,DGA+CYP,DMA,1,3,4.87,-2.583333,0.346601044
1X Diflexx + Durango DMA + AMS,3,22,44,1x,yes,DGA+CYP,DMA,2,1,4.75,-2.703333,0.362701224
1X Diflexx + Durango DMA + AMS,3,22,44,1x,yes,DGA+CYP,DMA,2,2,4.77,-2.683333,0.36001786
1X Diflexx + Durango DMA + AMS,3,22,44,1x,yes,DGA+CYP,DMA,2,3,4.75,-2.703333,0.362701224
4X Diflexx Duo + Durango DMA + AMS,3,23,45,4x,yes,DGA+TMB,DMA,1,1,4.37,-3.083333,0.413685126
4X Diflexx Duo + Durango DMA + AMS,3,23,45,4x,yes,DGA+TMB,DMA,1,2,4.35,-3.103333,0.416368489
4X Diflexx Duo + Durango DMA + AMS,3,23,45,4x,yes,DGA+TMB,DMA,1,3,4.34,-3.113333,0.417710171
4X Diflexx Duo + Durango DMA + AMS,3,23,45,4x,yes,DGA+TMB,DMA,2,1,4.33,-3.123333,0.419051852
4X Diflexx Duo + Durango DMA + AMS,3,23,45,4x,yes,DGA+TMB,DMA,2,2,4.33,-3.123333,0.419051852
4X Diflexx Duo + Durango DMA + AMS,3,23,45,4x,yes,DGA+TMB,DMA,2,3,4.31,-3.143333,0.421735216
1X Diflexx Duo + Durango DMA + AMS,3,23,46,1x,yes,DGA+TMB,DMA,1,1,4.64,-2.813333,0.377459722
1X Diflexx Duo + Durango DMA + AMS,3,23,46,1x,yes,DGA+TMB,DMA,1,2,4.64,-2.813333,0.377459722
1X Diflexx Duo + Durango DMA + AMS,3,23,46,1x,yes,DGA+TMB,DMA,1,3,4.65,-2.803333,0.37611804
1X Diflexx Duo + Durango DMA + AMS,3,23,46,1x,yes,DGA+TMB,DMA,2,1,4.64,-2.813333,0.377459722
1X Diflexx Duo + Durango DMA + AMS,3,23,46,1x,yes,DGA+TMB,DMA,2,2,4.65,-2.803333,0.37611804
1X Diflexx Duo + Durango DMA + AMS,3,23,46,1x,yes,DGA+TMB,DMA,2,3,4.65,-2.803333,0.37611804
4X Status + Durango DMA + AMS,3,24,47,4x,yes,NA+DIF,DMA,1,1,4.74,-2.713333,0.364042905
4X Status + Durango DMA + AMS,3,24,47,4x,yes,NA+DIF,DMA,1,2,4.74,-2.713333,0.364042905
4X Status + Durango DMA + AMS,3,24,47,4x,yes,NA+DIF,DMA,1,3,4.73,-2.723333,0.365384587
4X Status + Durango DMA + AMS,3,24,47,4x,yes,NA+DIF,DMA,2,1,4.84,-2.613333,0.350626089
4X Status + Durango DMA + AMS,3,24,47,4x,yes,NA+DIF,DMA,2,2,4.83,-2.623333,0.351967771
4X Status + Durango DMA + AMS,3,24,47,4x,yes,NA+DIF,DMA,2,3,4.82,-2.633333,0.353309452
1X Status + Durango DMA + AMS,3,24,48,1x,yes,NA+DIF,DMA,1,1,4.95,-2.503333,0.335867591
1X Status + Durango DMA + AMS,3,24,48,1x,yes,NA+DIF,DMA,1,2,4.95,-2.503333,0.335867591
1X Status + Durango DMA + AMS,3,24,48,1x,yes,NA+DIF,DMA,1,3,4.96,-2.493333,0.334525909
1X Status + Durango DMA + AMS,3,24,48,1x,yes,NA+DIF,DMA,2,1,5.09,-2.363333,0.317084048
1X Status + Durango DMA + AMS,3,24,48,1x,yes,NA+DIF,DMA,2,2,5.07,-2.383333,0.319767411
1X Status + Durango DMA + AMS,3,24,48,1x,yes,NA+DIF,DMA,2,3,4.99,-2.463333,0.330500865
Nontreated check,3,,49,none,none,none,none,1,1,7.5,,
Nontreated check,3,,49,none,none,none,none,1,2,7.43,,
Nontreated check,3,,49,none,none,none,none,1,3,7.4,,
Nontreated check,3,,49,none,none,none,none,2,1,7.5,,
Nontreated check,3,,49,none,none,none,none,2,2,7.47,,
Nontreated check,3,,49,none,none,none,none,2,3,7.42,,
