Site,Year,Siteyr,Plot,Block,Trt,Trt Des,POST,residual,est plants per plot area,seeds per plant,iAMBTR,mAMBTR,viaAMBTR,iAMBEL,mAMBEL,viaAMBEL,iAMATU,mAMATU,viaAMATU,mseed,seedvia,viaseed
Janesville,2018,ROK18,101,1,4,M POST,B,no,0,0,0,0,,,,,,,,0,,0
Janesville,2018,ROK18,102,1,1,Check,none,,186,294,218.74,2354.46,0.6,,,,,,,2354.46,0.6,1413
Janesville,2018,ROK18,103,1,5,L POST,C,no,0,0,0,0,,,,,,,,0,,0
Janesville,2018,ROK18,104,1,6,E POST with residual,A,yes,1,186,0.74,8.01,0.6333,,,,,,,8.01,0.6333,5
Janesville,2018,ROK18,105,1,3,E POST,A,no,2,170,1.36,14.64,0.9333,,,,,,,14.64,0.9333,14
Janesville,2018,ROK18,107,1,8,L POST with residual,C,yes,0,0,0,0,,,,,,,,0,,0
Janesville,2018,ROK18,108,1,2,PRE,none,,70,137,38.36,412.9,0.7,,,,,,,412.9,0.7,289
Janesville,2018,ROK18,110,1,7,M POST with residual,B,yes,0,0,0,0,,,,,,,,0,,0
Janesville,2018,ROK18,201,2,5,L POST,C,no,0,0,0,0,,,,,,,,0,,0
Janesville,2018,ROK18,203,2,3,E POST,A,no,0,0,0,0,,,,,,,,0,,0
Janesville,2018,ROK18,204,2,8,L POST with residual,C,yes,0,0,0,0,,,,,,,,0,,0
Janesville,2018,ROK18,206,2,1,Check,none,,93,307.5,114.39,1231.28,0.6,,,,,,,1231.28,0.6,739
Janesville,2018,ROK18,207,2,4,M POST,B,no,0,0,0,0,,,,,,,,0,,0
Janesville,2018,ROK18,208,2,7,M POST with residual,B,yes,0,0,0,0,,,,,,,,0,,0
Janesville,2018,ROK18,209,2,6,E POST with residual,A,yes,0,0,0,0,,,,,,,,0,,0
Janesville,2018,ROK18,210,2,2,PRE,none,,116,412,191.17,2057.72,0.8667,,,,,,,2057.72,0.8667,1783
Janesville,2018,ROK18,301,3,2,PRE,none,,116,256,118.78,1278.58,0.4,,,,,,,1278.58,0.4,511
Janesville,2018,ROK18,302,3,7,M POST with residual,B,yes,0,0,0,0,,,,,,,,0,,0
Janesville,2018,ROK18,305,3,5,L POST,C,no,0,0,0,0,,,,,,,,0,,0
Janesville,2018,ROK18,306,3,8,L POST with residual,C,yes,1,3,0.01,0.13,0.3333,,,,,,,0.13,0.3333,0
Janesville,2018,ROK18,307,3,6,E POST with residual,A,yes,2,562,4.5,48.39,0.3333,,,,,,,48.39,0.3333,16
Janesville,2018,ROK18,308,3,1,Check,none,,209,281,234.92,2528.62,0.6667,,,,,,,2528.62,0.6667,1686
Janesville,2018,ROK18,309,3,3,E POST,A,no,0,0,0,0,,,,,,,,0,,0
Janesville,2018,ROK18,310,3,4,M POST,B,no,0,0,0,0,,,,,,,,0,,0
Janesville,2018,ROK18,401,4,1,Check,none,,465,343,637.98,6867.16,0.8,,,,,,,6867.16,0.8,5494
Janesville,2018,ROK18,402,4,8,L POST with residual,C,yes,0,0,0,0,,,,,,,,0,,0
Janesville,2018,ROK18,403,4,6,E POST with residual,A,yes,0,0,0,0,,,,,,,,0,,0
Janesville,2018,ROK18,404,4,4,M POST,B,no,0,0,0,0,,,,,,,,0,,0
Janesville,2018,ROK18,405,4,2,PRE,none,,465,263,489.18,5265.49,0.7333,,,,,,,5265.49,0.7333,3861
Janesville,2018,ROK18,406,4,3,E POST,A,no,0,0,0,0,,,,,,,,0,,0
Janesville,2018,ROK18,407,4,7,M POST with residual,B,yes,0,0,0,0,,,,,,,,0,,0
Janesville,2018,ROK18,409,4,5,L POST,C,no,0,0,0,0,,,,,,,,0,,0
Arlington,2019,ARL19,101,1,1,Check,none,,,5739,,,,5739,61772,0.86,,,,61772,0.86,53124
Arlington,2019,ARL19,102,1,2,PRE,none,,,1802,,,,901,9696,0.87,,,,9696,0.87,8436
Arlington,2019,ARL19,103,1,3,E POST,A,no,,0,,,,0,0,,,,,0,,0
Arlington,2019,ARL19,104,1,4,M POST,B,no,,0,,,,0,0,,,,,0,,0
Arlington,2019,ARL19,105,1,5,L POST,C,no,,0,,,,0,0,,,,,0,,0
Arlington,2019,ARL19,106,1,6,E POST with residual,A,yes,,0,,,,0,0,,,,,0,,0
Arlington,2019,ARL19,107,1,7,M POST with residual,B,yes,,0,,,,0,0,,,,,0,,0
Arlington,2019,ARL19,108,1,8,L POST with residual,C,yes,,0,,,,0,0,,,,,0,,0
Arlington,2019,ARL19,201,2,8,L POST with residual,C,yes,,0,,,,0,0,,,,,0,,0
Arlington,2019,ARL19,202,2,5,L POST,C,no,,0,,,,0,0,,,,,0,,0
Arlington,2019,ARL19,203,2,7,M POST with residual,B,yes,,0,,,,0,0,,,,,0,,0
Arlington,2019,ARL19,204,2,1,Check,none,,,6654,,,,9981,107430,0.76,,,,107430,0.76,81647
Arlington,2019,ARL19,205,2,2,PRE,none,,,4208,,,,2104,22647,0.79,,,,22647,0.79,17891
Arlington,2019,ARL19,206,2,4,M POST,B,no,,0,,,,0,0,,,,,0,,0
Arlington,2019,ARL19,207,2,3,E POST,A,no,,0,,,,0,0,,,,,0,,0
Arlington,2019,ARL19,208,2,6,E POST with residual,A,yes,,0,,,,0,0,,,,,0,,0
Arlington,2019,ARL19,301,3,6,E POST with residual,A,yes,,0,,,,0,0,,,,,0,,0
Arlington,2019,ARL19,302,3,1,Check,none,,,7569,,,,15139,162955,0.94,,,,162955,0.94,153178
Arlington,2019,ARL19,303,3,4,M POST,B,no,,0,,,,0,0,,,,,0,,0
Arlington,2019,ARL19,304,3,5,L POST,C,no,,0,,,,0,0,,,,,0,,0
Arlington,2019,ARL19,305,3,3,E POST,A,no,,0,,,,0,0,,,,,0,,0
Arlington,2019,ARL19,306,3,8,L POST with residual,C,yes,,0,,,,0,0,,,,,0,,0
Arlington,2019,ARL19,307,3,7,M POST with residual,B,yes,,0,,,,0,0,,,,,0,,0
Arlington,2019,ARL19,308,3,2,PRE,none,,,2816,,,,2816,30312,0.86,,,,30312,0.86,26068
Arlington,2019,ARL19,401,4,4,M POST,B,no,,0,,,,0,0,,,,,0,,0
Arlington,2019,ARL19,402,4,3,E POST,A,no,,0,,,,0,0,,,,,0,,0
Arlington,2019,ARL19,403,4,7,M POST with residual,B,yes,,0,,,,0,0,,,,,0,,0
Arlington,2019,ARL19,404,4,8,L POST with residual,C,yes,,0,,,,0,0,,,,,0,,0
Arlington,2019,ARL19,405,4,2,PRE,none,,,6401,,,,6401,68903,0.93,,,,68903,0.93,64080
Arlington,2019,ARL19,406,4,5,L POST,C,no,,0,,,,0,0,,,,,0,,0
Arlington,2019,ARL19,407,4,1,Check,none,,,4523,,,,11307,121705,0.93,,,,121705,0.93,113186
Arlington,2019,ARL19,408,4,6,E POST with residual,A,yes,,0,,,,0,0,,,,,0,,0
Janesville,2019,ROK19,101,1,1,Check,none,,,335,1840,19803,0.3333,,,,,,,19803,0.3333,6600
Janesville,2019,ROK19,102,1,2,PRE,none,,,132,526,5662,0.4333,,,,,,,5662,0.4333,2453
